"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"755",149.410004,149.759995,144.850006,145.089996,1849300,130.958145
"756",144.289993,145.979996,144,145.350006,1308200,131.19281
"757",145.089996,146.869995,144.490005,146.110001,1026700,131.878784
"758",144.639999,145.490005,143.509995,144.449997,1621600,130.380463
"759",144.910004,146.059998,144.029999,145.399994,1397600,131.237915
"760",144.860001,145.070007,143.360001,144.229996,2236400,130.1819
"761",144.25,144.949997,143.660004,144.789993,1912800,130.687363
"762",144.570007,146.649994,144.199997,145.289993,2061300,131.138657
"763",145.509995,147.240005,145.149994,147.130005,1584800,132.799454
"764",147.050003,147.75,146.190002,147.100006,1357000,132.772354
"765",147.350006,149.050003,147.029999,148.539993,1103900,134.072113
"766",148.649994,149.490005,147.600006,147.770004,1436900,133.377106
"767",147.729996,149.889999,147.429993,149.110001,1628800,134.586594
"768",149.300003,149.649994,145.940002,146.009995,1582600,131.788528
"769",145.899994,147.309998,144.419998,147.25,1561300,132.907745
"770",147.210007,147.800003,144.639999,144.820007,1893300,130.714462
"771",143.75,143.910004,141.630005,141.630005,2061600,127.835152
"772",141.830002,142.369995,139.949997,139.990005,1422400,126.354881
"773",140.279999,141.369995,139.809998,140.029999,1667500,126.390999
"774",139.029999,139.940002,136.100006,136.449997,2639600,123.159683
"775",136,136.220001,132.860001,133.149994,2920300,120.181099
"776",133.380005,135.800003,132.529999,132.800003,2812300,119.865196
"777",131.580002,139.240005,130.009995,137.289993,5060800,123.917854
"778",137.270004,140.630005,137.25,140.470001,2811900,126.788116
"779",141.779999,142.639999,140.020004,140.860001,2151300,127.140167
"780",140.320007,141.039993,139.289993,141.020004,1983500,127.284561
