"","BMY.Open","BMY.High","BMY.Low","BMY.Close","BMY.Volume","BMY.Adjusted"
"415",60.099998,60.25,59.639999,59.970001,4575700,54.166054
"416",60.23,60.630001,59.959999,60.009998,4334400,54.202183
"417",59.93,60.279999,59.68,60.169998,3061900,54.346703
"418",60.099998,61.25,60.060001,61.119999,4619600,55.204765
"419",61.049999,61.23,60.48,60.689999,3930200,54.81638
"420",60.470001,60.700001,60.209999,60.549999,3352400,54.68993
"421",60.5,60.689999,59.880001,60.48,4746800,54.626698
"422",60.599998,61.310001,60.41,61.200001,6296600,55.277016
"423",61.029999,61.380001,60.869999,60.939999,4979500,55.042187
"424",60.720001,61.41,60.639999,61.310001,3519900,55.376377
"425",61.5,61.77,60.799999,60.860001,3963900,54.969925
"426",60.849998,61.009998,60.439999,60.490002,3585800,54.635738
"427",60.529999,60.639999,59.880001,60.330002,7025600,54.491222
"428",60.700001,60.959999,59.52,60.790001,6119300,54.906704
"429",60.669998,60.720001,60.290001,60.689999,3893800,54.81638
"430",60.849998,61.5,60.66,61.299999,4430900,55.36734
"431",61.18,61.66,61.130001,61.48,3703600,55.529922
"432",61.540001,62.240002,60.59,60.799999,4449400,54.915726
"433",60.830002,61.950001,60.82,61.75,4518200,55.773796
"434",61.869999,62.619999,61.75,62.25,9010600,56.225395
"435",61.990002,62.290001,61.279999,61.59,3938300,55.629272
"436",61.82,62.52,61.740002,61.82,5904200,55.837013
"437",61.880001,62.380001,61.419998,61.619999,5842000,55.656376
"438",61.66,62.09,61.470001,61.950001,4708200,55.954437
"439",61.950001,62.110001,61.689999,62.080002,3691000,56.071857
"440",62.369999,62.650002,62.040001,62.099998,4344000,56.08992
"441",62.23,62.82,61.919998,62.799999,5330100,56.722172
"442",62.990002,63.209999,62.32,62.650002,4742500,56.586689
