"","MPWR.Open","MPWR.High","MPWR.Low","MPWR.Close","MPWR.Volume","MPWR.Adjusted"
"983",309.880005,310.799988,300.549988,306.420013,696100,304.583191
"984",313.209991,329.519989,309.869995,328.140015,468000,326.173035
"985",330.869995,330.869995,309,319.959991,2944700,318.041992
"986",322.190002,327.779999,317.899994,319.799988,391800,317.882996
"987",319.079987,326.940002,313.959991,320.829987,377500,318.906799
"988",319.230011,327.380005,315.019989,324.140015,242900,322.196991
"989",323.399994,333.589996,320.440002,321.380005,664500,319.453491
"990",321.600006,324.600006,319.549988,322.440002,487400,320.507172
"991",321.880005,325.339996,317.959991,323.48999,371700,321.550873
"992",321.450012,322.660004,305.850006,308.609985,467200,306.760071
"993",307.390015,313.459991,305.859985,307.269989,615700,305.428101
"994",306.359985,313.75,303.600006,306.570007,656800,304.732269
"995",310.959991,320.910004,310.5,319.459991,685100,317.545013
"996",322.459991,332.579987,320.01001,331.559998,918700,329.57251
"997",333.600006,334.040009,325.070007,332.029999,686600,330.039642
"998",334.440002,345.649994,334.200012,341.470001,431500,339.423065
"999",345.070007,351.170013,340.470001,348.230011,912200,346.142578
"1000",343.440002,349.609985,343.089996,346.570007,514700,344.492523
"1001",347.470001,355.570007,347.130005,354.059998,570600,351.937622
"1002",355.970001,361.880005,351.269989,353.890015,431200,351.768646
"1003",356.829987,358.609985,351.369995,357.070007,124100,354.929596
"1004",362.779999,365.029999,355.880005,360.459991,272700,358.299255
"1005",361.559998,364.519989,348.399994,352.190002,305700,350.078857
"1006",355.190002,362.640015,355.190002,360.730011,225600,359.077393
"1007",363.380005,367.049988,358.959991,366.230011,277200,364.552246
