"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"196",153.169998,153.169998,151.929993,152.929993,696400,139.381012
"197",152.570007,153.399994,152.490005,153.339996,588000,139.754684
"198",153.5,154.410004,153.410004,153.460007,1388000,139.864059
"199",153.889999,154.259995,152.25,153.220001,926600,139.645309
"200",153.679993,153.949997,152.800003,153.470001,585700,139.873154
"201",153.589996,153.820007,152.050003,153.199997,1114600,139.62709
"202",152.820007,153.229996,152.020004,152.860001,929200,139.317215
"203",153.649994,154.740005,153.600006,154.220001,812200,140.556686
"204",154.149994,154.410004,153.25,153.600006,883600,139.991653
"205",153.470001,154.270004,153.470001,153.850006,802000,140.219467
"206",153.880005,154.820007,153.179993,154.589996,1694800,140.893936
"207",159.850006,161.960007,158.619995,161.389999,2326500,147.091476
"208",161.300003,162.860001,160.720001,160.880005,1047600,146.626663
"209",160.960007,161.119995,159.440002,159.949997,852100,145.779053
"210",160.779999,160.779999,159.190002,159.429993,866100,145.305115
"211",159.690002,160.639999,158.529999,159.919998,899400,145.75174
"212",160.190002,160.779999,158.169998,159.410004,881700,145.286896
"213",159.679993,159.679993,158.380005,159.25,460700,145.141068
"214",159.479996,159.960007,158.570007,158.800003,434700,144.730957
"215",159.380005,159.979996,158.970001,159.770004,638600,145.61499
"216",159.779999,161.100006,159.710007,160.940002,672600,146.681335
"217",160.020004,162.309998,159.669998,160.550003,1257100,146.325897
"218",160.199997,160.940002,159.809998,160.300003,585300,146.098083
"219",162.529999,163.559998,161.360001,162.759995,1935100,148.340088
"220",161.770004,162.270004,161.009995,162.149994,1232100,147.784164
"221",161.259995,161.630005,160.240005,160.860001,770300,146.608429
"222",161.100006,161.979996,160.869995,161.179993,1206100,146.900085
"223",160.830002,162.369995,160.350006,161.580002,923300,147.264633
"224",161.550003,162.490005,161.259995,161.570007,695900,147.255554
"225",162.100006,162.679993,161.759995,162.289993,474000,147.911743
"226",162.589996,162.589996,161.550003,161.619995,455300,147.301102
"227",161.889999,162.600006,161.149994,161.559998,295600,147.246414
"228",161.779999,161.929993,160.809998,160.940002,819500,146.681335
"229",160.889999,163.270004,160.830002,163.240005,826100,148.777603
"230",163.080002,163.320007,162,162.619995,618200,148.212494
"231",163.330002,164.649994,162.580002,163.039993,1275500,148.595291
"232",163.289993,163.570007,160.839996,161.639999,749000,147.319321
"233",162.190002,164.360001,161.949997,162.399994,864700,148.012009
"234",162.509995,162.880005,160.990005,161.979996,581600,147.629196
